postcode,name
B18 7QH,City Hospital  
B15 2TH,Queen Elizabeth Hospital Birmingham
B9 5SS,Heartlands Hospital  
B71 4HJ,Sandwell District General Hospital
B75 7RR,Good Hope Hospital 
WS2 9PS,Manor Hospital  
DY1 2HQ,Russells Hall Hospital 
WV10 0QP,New Cross Hospital 
B98 7UB,Alexandra Hospital  
CV10 7DJ,George Eliot Hospital 
CV34 5BW,Warwick Hospital  
CV2 2DX,University Hospital (Coventry) 
WR5 1DD,Worcestershire Royal Hospital 
ST16 3SA,Stafford Hospital  
TF1 6TF,Princess Royal Hospital 
LE1 5WW,Leicester Royal Infirmary 
DE22 3NE,Royal Derby Hospital 
OX16 9AL,Horton General Hospital 
ST4 6QG,Royal Stoke University Hospital
SY3 8XQ,Royal Shrewsbury Hospital 
